Value,Year,Month,Seasonal Adjustment,Country
168.47813905390356,2021,Mar *,NSA,Other countries
100.23031753090396,2021,Apr *,NSA,Other countries
58.934217287509554,2021,May *,NSA,Other countries
71.26409918158619,2021,Jun *,NSA,Other countries
112.5433020617951,2021,Jul,NSA,Other countries
290.8415039045024,2021,Aug,NSA,Other countries
296.2961365494819,2021,Sep,NSA,Other countries
391.228187319169,2021,Oct,NSA,Other countries
420.1100454409966,2021,Nov,NSA,Other countries
561.6735190092294,2021,Dec,NSA,Other countries
672.6233457025597,2022,Jan,NSA,Other countries
560.7909078912703,2022,Feb,NSA,Other countries
795.1527373502826,2022,Mar,NSA,Other countries
1122.367833030068,2022,Apr,NSA,Other countries
964.6706118846795,2022,May ,NSA,Other countries
876.4654144261226,2022,June,NSA,Other countries
766.7627499744584,2022,July,NSA,Other countries
1294.7833768881721,2022,Aug,NSA,Other countries
1042.654911694095,2022,Sep,NSA,Other countries
939.5503700395926,2022,Oct,NSA,Other countries
892.4682817335489,2022,Nov,NSA,Other countries
974.2845453102291,2022,Dec†,NSA,Other countries
